"Gene","ModuleColor","kME_blue","p.kME_blue","GS_Activation_Status.Activated","PValue"
"STYXL1","blue",-0.795581915204988,8.55419068850829e-10,0.913943199313596,1.83538087477279e-16
"LRFN1","blue",-0.794647325588191,9.24688489513286e-10,0.382473631762979,0.0148638381995617
"ZFP36","blue",0.908479780209556,5.62981514870615e-16,-0.586792421002807,6.90316208715728e-05
"TUBGCP6","blue",0.849036713900495,4.43275110139607e-12,-0.953307378355026,2.34009411932139e-21
"ASPHD2","blue",-0.854600007255585,2.28550274889273e-12,0.924463298745397,1.69183666268591e-17
"APOL2","blue",-0.979108990659274,6.76155893352865e-28,0.75621567095658,1.67046727758956e-08
"APOBEC3F","blue",-0.852968360981305,2.78340361939007e-12,0.863312670130898,7.64981618320151e-13
"PRKRIP1","blue",0.765760582654296,8.5699850110926e-09,-0.701514828565187,4.59171469909193e-07
"KLHDC10","blue",-0.747076644246915,3.07834145630143e-08,0.250721790813143,0.118650424506649
"NDUFA5","blue",0.893831702847445,8.29146150281624e-15,-0.585734918275642,7.16683030537104e-05
"CALML4","blue",-0.837437865740519,1.62605185536117e-11,0.817959933591566,1.16549927980918e-10
"CCNT1","blue",0.722323551367562,1.42698350066323e-07,-0.214965221166357,0.182833103079051
"NGDN","blue",0.960372771005395,1.10193638550476e-22,-0.63468556604375,1.09062037077635e-05
"EAPP","blue",0.906551504755707,8.22376641456262e-16,-0.535772665110494,0.000366848012417872
"TEP1","blue",-0.749834975833292,2.56673126608528e-08,0.424471635915775,0.00633564083578189
"KLF16","blue",0.801664298653586,5.10233658795822e-10,-0.334841484496568,0.0346896627522594
"PLPPR3","blue",0.877913987255649,1.02106897959192e-13,-0.677400825621074,1.58137443829336e-06
"PUDP","blue",-0.884945322577122,3.5251169501753e-14,0.835119128735228,2.0830691393436e-11
"SAFB2","blue",0.866423889846641,5.08119335387921e-13,-0.928711146097048,5.84902570730169e-18
"NDUFA10","blue",0.780839691052259,2.79429682106584e-09,-0.270230356151693,0.0917130564684933
"MAP1S","blue",-0.954671747056147,1.34803545052154e-21,0.829874278031091,3.59773588682439e-11
"KLHDC7B","blue",-0.789893206679626,1.36575910048683e-09,0.766142348877453,8.3388276372394e-09
"JUND","blue",0.736074796749101,6.21503698154671e-08,-0.305072353599661,0.0555979052389559
"TUBGCP2","blue",0.946772574405872,2.66233062231341e-20,-0.559057484953323,0.000177016857239774
"PAK4","blue",-0.886694431810689,2.67679336138112e-14,0.837679003531394,1.58435146495455e-11
"ZC3H4","blue",-0.746459332506512,3.20512764523019e-08,0.854619211364954,2.28017483733528e-12
"MED18","blue",-0.973476139280931,6.00858296226958e-26,0.836128464838999,1.87104325986155e-11
"ZNF317","blue",0.92422835771754,1.79093604743465e-17,-0.507190942302234,0.000837314158462705
"EIF3G","blue",0.845846293169103,6.40500487518092e-12,-0.487630980224766,0.00141497918790294
"ZNF331","blue",0.987442741133529,4.58143962185515e-32,-0.769997602150312,6.30846332880021e-09
"MTRFR","blue",0.748053964319935,2.88711172179204e-08,-0.661929991285185,3.29724390987019e-06
"PPIL4","blue",0.838599047590422,1.43427947336729e-11,-0.565190805184189,0.000144776854860454
"AAR2","blue",0.8944693910624,7.43714815584524e-15,-0.458501175275933,0.00292560353268654
"RBM39","blue",0.983873038389032,5.15414104975328e-30,-0.804643739762037,3.9356120341807e-10
"COX4I1","blue",0.837936319154572,1.54096046385434e-11,-0.337363198921291,0.033265295574567
"RAB11FIP4","blue",0.936211257281187,7.56029923215626e-19,-0.650951720033639,5.41613471705245e-06
"RLIM","blue",0.849372702977797,4.26212991133894e-12,-0.414269077764333,0.00787063718067867
"NR1H2","blue",0.901701659641253,2.05943510809541e-15,-0.635202146914933,1.06730486709446e-05
"STARD3","blue",0.841028078884414,1.0995857593899e-11,-0.838529249372543,1.44517976561856e-11
"PEX11B","blue",-0.861362155805349,9.8365935490298e-13,0.538201581582815,0.00034083468340636
"C19orf12","blue",-0.923507239794992,2.13042223410833e-17,0.80273507125627,4.65013016248344e-10
"ZSWIM4","blue",-0.775787451322722,4.10671247606322e-09,0.727141076624575,1.07253850143309e-07
"DCAF15","blue",0.777088714132297,3.72252538007689e-09,-0.609443662196312,2.99412585153787e-05
"RAF1","blue",0.966736392471062,4.18524565058811e-24,-0.788344699270706,1.54743537551541e-09
"SLX1A","blue",-0.8602493404164,1.13345528329974e-12,0.894146165617574,7.85924354568707e-15
"ARFIP2","blue",0.879419156464669,8.1771986962166e-14,-0.414313344377727,0.00786334223944075
"TRIM5","blue",-0.86538449812886,5.83198529378027e-13,0.601960456686823,3.97350280019205e-05
"TIMM10B","blue",0.955395227180639,9.99259780993407e-22,-0.837593843369888,1.59896247740231e-11
"MRPL35","blue",-0.916074540023969,1.16150092183653e-16,0.828326738829092,4.21233916271112e-11
"ILKAP","blue",0.946426290682293,3.00229302660151e-20,-0.641515551206936,8.16934692072963e-06
"PER2","blue",0.739458040050507,5.02601247527392e-08,-0.364009139033262,0.0209413000355665
"CARD6","blue",-0.792825455651937,1.07503279412544e-09,0.474949972316152,0.0019564170463483
