"Gene","ModuleColor","kME_turquoise","p.kME_turquoise","GS_Activation_Status.Activated","PValue"
"PNPLA2","turquoise",-0.969267245562456,6.40166961230541e-10,-0.87207449950362,1.06494560656937e-05
"POLR2L","turquoise",0.955369909558366,8.40214658025647e-09,0.97664363347076,9.55920024595983e-11
"FLII","turquoise",0.955014191698659,8.87384057303489e-09,0.846253066518832,3.58988628136164e-05
"FAM87B","turquoise",-0.925769152910326,2.73222278674607e-07,-0.815961587817463,0.000116082816792085
"SVBP","turquoise",0.768244357603687,0.000508531327785837,0.797215650204484,0.00021701818610069
"UBE2N","turquoise",0.946811475414896,2.80394274541581e-08,0.934273877838045,1.1927980565312e-07
"MAMDC4","turquoise",0.974516437020865,1.74967149437037e-10,0.887444429199347,4.53527818858765e-06
"CIMAP1A","turquoise",-0.840061414096251,4.65134236478795e-05,-0.917418382078132,5.63351930139445e-07
"DMAP1","turquoise",-0.892146758459078,3.40781107564747e-06,-0.940871160246699,5.79042861457646e-08
"STAP2","turquoise",0.948318433654145,2.30222695076002e-08,0.948911656687858,2.1268738764628e-08
"PDE4DIP","turquoise",-0.814329364388825,0.000122914323934868,-0.809081133228267,0.000147188464620262
"LCORL","turquoise",0.778612683195361,0.000380332597858993,0.719587553340951,0.0016747497826617
"TMPRSS9","turquoise",-0.871869766108245,1.07632367578336e-05,-0.848072828960908,3.31965511100771e-05
"TMEM11","turquoise",0.890636330543826,3.74071332365742e-06,0.771135054294536,0.000469664329448366
"SUZ12","turquoise",0.975536618497604,1.31803130037988e-10,0.911270862283005,9.1580373996115e-07
"COX5A","turquoise",0.997001095648189,5.8030287783302e-17,0.951262357547081,1.53912999423978e-08
"TRIM73","turquoise",-0.957918105730442,5.60556457194336e-09,-0.865903658042956,1.45586937566291e-05
"OPLAH","turquoise",0.899383930834012,2.13758988772065e-06,0.740129718209252,0.00104445109570996
"EFCAB13","turquoise",-0.856903449659395,2.23741293293847e-05,-0.94953547488646,1.95487191626697e-08
"PFAS","turquoise",0.954278748212579,9.92100632824643e-09,0.842291594696723,4.24232464343849e-05
"CYBC1","turquoise",0.95589634654632,7.74335013127127e-09,0.9154665857357,6.59922201045086e-07
"ZNF552","turquoise",-0.897150275808744,2.47753798146103e-06,-0.748132360370334,0.000858916701641568
"SMIM10L2A","turquoise",-0.828579224320531,7.31700968713955e-05,-0.769323223651774,0.000493726976748073
"FBXO34","turquoise",0.797717246284503,0.000213593990151804,0.731991689171403,0.00126552015363032
"RRS1","turquoise",0.877059870312274,8.17460475700389e-06,0.937069772129018,8.86518573967972e-08
"RCC2","turquoise",0.992082995624123,5.11945252938711e-14,0.943639876478979,4.17013466162956e-08
"CYC1","turquoise",0.949958283053014,1.8451527604784e-08,0.80514478378411,0.000167901791086259
"FARSA","turquoise",0.965377097478864,1.45926197212726e-09,0.93309263349041,1.3468987393907e-07
"EDC3","turquoise",0.851633783454998,2.83993491758535e-05,0.814433606679802,0.000122468258221
"ZNF664","turquoise",0.950303003318421,1.75962021512291e-08,0.884956992734495,5.24910819722362e-06
"GADD45GIP1","turquoise",0.919116810666223,4.89334453774209e-07,0.779282490651758,0.000373068872666932
"PTPN11","turquoise",0.984944853206997,4.51769425525562e-12,0.888434100672522,4.27500358088787e-06
"PACS2","turquoise",-0.918284532099351,5.24501866080564e-07,-0.784731985217024,0.00031811915165004
"GEMIN4","turquoise",0.807799385320937,0.000153685673577531,0.709707378773805,0.0020726444879914
"C14orf28","turquoise",-0.966536264149151,1.15331975725169e-09,-0.932349948484181,1.45219234948002e-07
"LBX2","turquoise",-0.738468854522519,0.00108678645012027,-0.679893244945497,0.00375916542333606
"MAF1","turquoise",-0.909736453824677,1.02827906937545e-06,-0.827911583178323,7.5047087228557e-05
"APOBEC3B","turquoise",0.745220323178371,0.000923012520335947,0.806690042548403,0.000159499663523113
"MROH1","turquoise",-0.860864095411931,1.8586664521362e-05,-0.678317865866862,0.00387222027179267
"NKPD1","turquoise",-0.856260948916931,2.30456221797769e-05,-0.669732655085042,0.00453733545337475
