"Gene","ModuleColor","kME_turquoise","p.kME_turquoise","GS_Activation_Status.Activated","PValue"
"BOLA2B","turquoise",0.923550792852895,2.10830591608943e-17,0.890475360140237,1.45328594446292e-14
"BUB1","turquoise",0.940685338937286,1.97502087183163e-19,0.994951254185308,1.48074161496755e-39
"SPNS1","turquoise",-0.89893702590423,3.40305438190579e-15,-0.741545279946776,4.40175626305548e-08
"CENPX","turquoise",0.966234242782917,5.5394074119292e-24,0.90286228583207,1.66054085886159e-15
"AGPAT2","turquoise",0.732964364919177,7.53371162757739e-08,0.818987310080403,1.05673464399501e-10
"RFNG","turquoise",-0.884573850464178,3.73522628255876e-14,-0.812027205843809,2.02818943918345e-10
"RAC3","turquoise",0.708138380903738,3.20001113946349e-07,0.780865924190966,2.788642556072e-09
"UGP2","turquoise",0.794385634056416,9.45003247120252e-10,0.923614497561224,2.07634631419256e-17
"HNRNPF","turquoise",0.944660453023328,5.47423904821968e-20,0.973818771196575,4.70730356532858e-26
"BTD","turquoise",-0.92229670528869,2.84034316810879e-17,-0.900739089415423,2.45706010330272e-15
"AVEN","turquoise",0.856602564075238,1.78854543223962e-12,0.787435659166855,1.66434888512306e-09
"ZNF764","turquoise",-0.754752097614214,1.84553706902803e-08,-0.600869567407699,4.13840438992646e-05
"TAS1R3","turquoise",-0.83241156802988,2.76844222776131e-11,-0.642202261038534,7.93232965929197e-06
"MAP3K2","turquoise",-0.940816133316856,1.89607339251643e-19,-0.839092052203801,1.35945484386817e-11
"YWHAG","turquoise",0.977917399745007,1.92001021124972e-27,0.868226169429473,3.99017917180979e-13
"CNTROB","turquoise",0.91451444760289,1.62545952315653e-16,0.977698389229669,2.31161987431403e-27
"TRAPPC1","turquoise",0.883197343667667,4.62108358009756e-14,0.947089478352969,2.38337738975447e-20
"KCNAB3","turquoise",-0.738411046064662,5.36923008236657e-08,-0.588865275497745,6.41171208523313e-05
"GPR37L1","turquoise",-0.801456782586237,5.19459703711424e-10,-0.597252731558335,4.73067645807002e-05
"SIMC1","turquoise",0.938033854805358,4.42898007840814e-19,0.921593858398873,3.34940428995249e-17
"UBE2E1","turquoise",0.926261770022689,1.08750097702098e-17,0.821654514632072,8.17057542518082e-11
"HNRNPA3","turquoise",0.752397755844659,2.16335280627163e-08,0.751891566149796,2.23802058154118e-08
"SLC16A5","turquoise",-0.736739807792306,5.96248069461213e-08,-0.600422235784185,4.20780602918442e-05
"NANP","turquoise",0.97595203716733,9.53810214442395e-27,0.965022441892394,1.07112249968651e-23
"ADPRM","turquoise",-0.897202687101775,4.62936350461446e-15,-0.912879765687045,2.29593230816174e-16
"FAM161A","turquoise",0.797355241282175,7.3711271607298e-10,0.613822492521961,2.52867922143561e-05
"STX8","turquoise",0.75189072099156,2.23814723058955e-08,0.772394749666037,5.28926128177051e-09
"UBB","turquoise",0.919518858517788,5.40146579885754e-17,0.876287092640141,1.29387193936012e-13
