"Gene","ModuleColor","kME_brown","p.kME_brown","GS_Activation_Status.Activated","PValue"
"SCARB1","brown",0.985550681518069,4.84172075351081e-09,0.832295320147137,0.000782640554278219
"FRY","brown",-0.973878579609691,9.16711275493703e-08,-0.611935774763667,0.0344519574783158
"MRPS34","brown",0.967996511110615,2.50570581590296e-07,0.88909865837991,0.000109376365615113
"CLNS1A","brown",0.967148229639341,2.85177770681782e-07,0.5950203063656,0.0412575251038535
"DPP8","brown",-0.926116625651782,1.53017312576599e-05,-0.539048321575927,0.0705278942569123
"ZZEF1","brown",-0.991588221838965,3.27032711055887e-10,-0.823916843495649,0.000983875863476519
"ZNF37A","brown",-0.948340425212155,2.65607345566488e-06,-0.848591674319908,0.000483211495034904
"SLC25A3","brown",0.98711348119212,2.73891206059065e-09,0.855538884255579,0.000386784994741985
"FRYL","brown",-0.937951766658692,6.52300196918988e-06,-0.837428925490095,0.000676107409145898
"TMEM131","brown",-0.960704763065073,6.90704893963357e-07,-0.865162699600154,0.000278688652374983
"RAB7A","brown",0.967448274554785,2.72528397075409e-07,0.896084630401934,7.99667576754733e-05
"SART3","brown",0.934895447565664,8.25258931682763e-06,0.495456765937515,0.101435218824947
"RBM7","brown",0.936202483508086,7.47346672056357e-06,0.752605124711482,0.00473384605076208
"MLH1","brown",0.97857627903381,3.42889741821645e-08,0.87811633087971,0.000172048691275944
"UNG","brown",0.965959652311556,3.39954120522285e-07,0.903298226581375,5.65080644801943e-05
"TRAF4","brown",0.96949157772707,1.97759511650682e-07,0.888607679105097,0.000111723556825964
"MBNL3","brown",-0.99339633393798,9.78115555838775e-11,-0.787817994314419,0.00234262071904366
"ARHGEF1","brown",-0.981961088862423,1.45948661486277e-08,-0.633619189870742,0.0269536036675184
"MAP2K7","brown",-0.878197766456825,0.000171499094594495,-0.498635596569987,0.0989208841402661
"DGKD","brown",-0.963501571046328,4.79753136205217e-07,-0.56875166321303,0.0536378063747315
"NFKB2","brown",0.973580822569519,9.69677656073231e-08,0.600515991145722,0.0389502511730311
"DNAJC10","brown",0.877171079119794,0.000178529315729774,0.445049418128789,0.14711966142114
"SNRPA","brown",0.983960904790778,8.13775876798773e-09,0.86609670481892,0.000269611004626423
"EXOSC5","brown",0.961373727688309,6.34597646345218e-07,0.566922634631139,0.0545864780471597
"APBB1IP","brown",-0.93145618218435,1.06125726777505e-05,-0.497179295230493,0.100067524632953
"LRCH4","brown",-0.989130429389361,1.17335253874352e-09,-0.846879706562706,0.000509609410262814
"GPR137B","brown",-0.838194913394304,0.000661227296148754,-0.470110320376098,0.123018518651377
"SMC1B","brown",0.793526069955847,0.0020652396244555,0.6839814281986,0.014167326551823
"PIK3C3","brown",-0.955728937524307,1.24317694225592e-06,-0.880900170143187,0.000154024844416299
"TIGAR","brown",-0.935784463817999,7.71602626492193e-06,-0.763253399993991,0.0038739848299581
"PPP2R5C","brown",-0.979941941766642,2.47241164022318e-08,-0.854558215637216,0.000399401589954807
"P2RY10","brown",-0.919177249325263,2.36864693968829e-05,-0.462522761794238,0.130021059518348
"CBFA2T2","brown",-0.981165650742097,1.8085136561162e-08,-0.869749810794012,0.000236295992616687
"SDF4","brown",0.990072729626809,7.46793619217054e-10,0.842655431258151,0.000579541272729952
"XRCC5","brown",0.991475422432369,3.49489847450743e-10,0.841095925077568,0.000607155957002084
"REXO1","brown",0.937115373184457,6.96470515653993e-06,0.854730202142901,0.000397166129523448
"CDC14A","brown",-0.983167720576488,1.03452836923833e-08,-0.862478517467087,0.000306107104350416
"RAPGEF3","brown",0.803093112835032,0.00165745994143659,0.69246217990196,0.0125651036928884
"LIPE","brown",0.947088262983258,2.98759226684861e-06,0.872677634360159,0.000211990211951038
"EPB41L2","brown",0.96964617258651,1.92849780397782e-07,0.884694039364949,0.000131876514152648
"SESN1","brown",-0.994101415934703,5.56820335973975e-11,-0.77947877949314,0.00279795067569016
"HSP90AA1","brown",0.993133533787213,1.18833906789963e-10,0.835331085415173,0.000718189390216862
"RSBN1","brown",-0.965396184585194,3.68686352016644e-07,-0.894241222317115,8.70368530941256e-05
"OSTM1","brown",-0.981287289406227,1.75122068343054e-08,-0.646355247278859,0.0231438677804293
"JMJD4","brown",-0.962375499986763,5.57408935986872e-07,-0.775770421259754,0.00302080990478767
"DUSP12","brown",0.922128850547465,1.9765958130091e-05,0.727100520141881,0.00737592044676408
"ME2","brown",0.989438821802246,1.01660575850078e-09,0.842819516292668,0.000576693373598208
"TRAF5","brown",-0.932231042532656,1.00394288707497e-05,-0.515988821304952,0.0859298360204428
"GEMIN5","brown",0.942151988502934,4.62757675440675e-06,0.51684437680411,0.0853209884158986
"XPO1","brown",0.963433470363367,4.84189878898857e-07,0.906952915155298,4.6902514593768e-05
"RNF13","brown",-0.82853499851632,0.000868572253530878,-0.39373206157745,0.205388738704042
"PALB2","brown",0.972752263748374,1.1299966301424e-07,0.875389172453418,0.000191263509323629
"DOP1A","brown",-0.966797366350421,3.00557279899246e-07,-0.897197923566915,7.59204298548069e-05
"TNPO1","brown",0.921853138897555,2.01088383869441e-05,0.471237926055636,0.121999419799498
"TDRD3","brown",-0.908635475741174,4.29370544726806e-05,-0.712721436258774,0.00928304391270129
"NUFIP1","brown",0.96790661078398,2.54071231122776e-07,0.615381693538255,0.0331709725436977
"OXCT1","brown",0.965441962982478,3.66282384021499e-07,0.905137143548032,5.14991928796376e-05
"RRAGB","brown",-0.834186143636474,0.000741995204742527,-0.698180384868065,0.0115633080617676
"CYLD","brown",-0.962342826971987,5.59802477726621e-07,-0.573288438965319,0.0513346087976505
"ZNF324","brown",-0.962842717580196,5.2406241943739e-07,-0.86511241129259,0.000279184074281577
"ZNF671","brown",-0.989976745063158,7.83475624974893e-10,-0.842628250978981,0.00058001407034684
"ZNF416","brown",-0.981263580526779,1.76227261846689e-08,-0.792909053843683,0.00209394643837198
"ZNF264","brown",-0.986025321478422,4.10031738537498e-09,-0.856193458392784,0.000378537665760994
"CHMP2B","brown",0.914574418315222,3.09978676005813e-05,0.798240525220524,0.0018557121677838
"SMAP2","brown",0.975113928400273,7.20996735004299e-08,0.888706506361505,0.000111247958681663
"STARD7","brown",0.987921230236001,1.9842710882201e-09,0.851842856343195,0.000436009463181243
"NOA1","brown",0.968520116070297,2.30936560192021e-07,0.875921625079402,0.000187386429040733
"REST","brown",-0.924225303062283,1.7306888960984e-05,-0.765039373842819,0.00374225245328787
"GSTP1","brown",0.995338805441248,1.71933234250039e-11,0.814715051479444,0.00124854553405502
"WBP11","brown",0.988668435436169,1.44371059270103e-09,0.843084498225188,0.000572117194716973
"EIF3I","brown",0.977119737063591,4.7524963142293e-08,0.883864175183558,0.000136493356201792
"AGBL5","brown",-0.88491705610987,0.000130656875433888,-0.574787817941303,0.0505889213269347
"HADHA","brown",0.965937822323168,3.41033007161875e-07,0.902804423203005,5.79161500329824e-05
"MAPRE3","brown",0.943619444665645,4.0798475613636e-06,0.736577964831443,0.00629057310215693
"CAD","brown",0.951640106634185,1.92020356571436e-06,0.534452250440058,0.0734330358924089
"MTIF2","brown",0.965754835003365,3.50184150737257e-07,0.582364574479375,0.0469367798816454
"DDHD2","brown",-0.982286733740471,1.33315025182105e-08,-0.777564996179517,0.00291133800801697
