GeneID,Symbol,Module,Module_kME,PValue_kME,Is_Hub,Predicted_BP,Predicted_MF,Predicted_CC,Predicted_KEGG,log2FoldChange,padj_DE
ENSG00000226007.4,FAM88F,blue,-0.6184693747571242,0.01065363289154046,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000226310.3,,blue,0.6970289383081952,0.0026922080365619602,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000226445.3,THBS2-AS1,blue,0.6561663670877322,0.00577228173884243,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000226659.3,TSPAN14-AS1,blue,-0.5794642677677541,0.018649303201799628,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000226754.4,MAGOH-DT,green,0.6448988682504462,0.006990065554044456,FALSE,calcium ion transport; regulation of monoatomic ion transport; calcium ion transmembrane transport; regulation of metal ion transport; actin filament organization,actin binding; monoatomic cation channel activity; monoatomic ion channel activity; channel activity; passive transmembrane transporter activity,cell-cell junction; actin cytoskeleton; actomyosin; stress fiber; contractile actin filament bundle,Unknown,NA,NA
ENSG00000226856.10,THORLNC,turquoise,0.6234248288097693,0.00987165118622029,FALSE,chromosome segregation; nuclear division; mitotic nuclear division; organelle fission; nuclear chromosome segregation,structural constituent of chromatin; structural constituent of ribosome; ligase activity; protein heterodimerization activity; ribonucleoprotein complex binding,"chromosomal region; protein-DNA complex; large ribosomal subunit; ribosome; chromosome, centromeric region",Cell cycle; Alcoholism; Systemic lupus erythematosus; Ribosome; Carbon metabolism,NA,NA
ENSG00000226876.4,SMYD3-AS1,blue,0.6404822327210458,0.007519719324489755,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000227028.7,SLC8A1-AS1,brown,-0.655452089337884,0.005844058010382125,FALSE,"alternative mRNA splicing, via spliceosome",Unknown,outer mitochondrial membrane protein complex; mitochondrial outer membrane translocase complex; U12-type spliceosomal complex; proteasome complex; mitochondrial protein-containing complex,Prion disease; Parkinson disease; Spliceosome; Huntington disease; Proteasome,NA,NA
ENSG00000227039.9,ITGB2-AS1,turquoise,-0.6795470031590056,0.0037837823983303694,FALSE,chromosome segregation; nuclear division; mitotic nuclear division; organelle fission; nuclear chromosome segregation,structural constituent of chromatin; structural constituent of ribosome; ligase activity; protein heterodimerization activity; ribonucleoprotein complex binding,"chromosomal region; protein-DNA complex; large ribosomal subunit; ribosome; chromosome, centromeric region",Cell cycle; Alcoholism; Systemic lupus erythematosus; Ribosome; Carbon metabolism,NA,NA
ENSG00000227071.2,FOCAD-AS1,blue,-0.5863305276566547,0.016981234685594225,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000227117.7,HORMAD2-AS1,blue,0.6337878474107915,0.008382775065341748,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000227189.3,,blue,0.5391480126698085,0.031150893836086633,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000227195.12,MIR663AHG,turquoise,0.5121080036467942,0.04256089843280316,FALSE,chromosome segregation; nuclear division; mitotic nuclear division; organelle fission; nuclear chromosome segregation,structural constituent of chromatin; structural constituent of ribosome; ligase activity; protein heterodimerization activity; ribonucleoprotein complex binding,"chromosomal region; protein-DNA complex; large ribosomal subunit; ribosome; chromosome, centromeric region",Cell cycle; Alcoholism; Systemic lupus erythematosus; Ribosome; Carbon metabolism,NA,NA
ENSG00000227197.1,,blue,0.6442121277705598,0.007070412819916679,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000227256.2,MIS18A-AS1,brown,0.5599930325531965,0.024075737364897168,FALSE,"alternative mRNA splicing, via spliceosome",Unknown,outer mitochondrial membrane protein complex; mitochondrial outer membrane translocase complex; U12-type spliceosomal complex; proteasome complex; mitochondrial protein-containing complex,Prion disease; Parkinson disease; Spliceosome; Huntington disease; Proteasome,NA,NA
ENSG00000227258.8,SMIM2-AS1,blue,0.5918004342732801,0.015737394131795344,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000227278.2,,turquoise,0.6463693654745533,0.006820461726616135,FALSE,chromosome segregation; nuclear division; mitotic nuclear division; organelle fission; nuclear chromosome segregation,structural constituent of chromatin; structural constituent of ribosome; ligase activity; protein heterodimerization activity; ribonucleoprotein complex binding,"chromosomal region; protein-DNA complex; large ribosomal subunit; ribosome; chromosome, centromeric region",Cell cycle; Alcoholism; Systemic lupus erythematosus; Ribosome; Carbon metabolism,NA,NA
ENSG00000227292.2,,turquoise,-0.5451992314056411,0.028952333744031142,FALSE,chromosome segregation; nuclear division; mitotic nuclear division; organelle fission; nuclear chromosome segregation,structural constituent of chromatin; structural constituent of ribosome; ligase activity; protein heterodimerization activity; ribonucleoprotein complex binding,"chromosomal region; protein-DNA complex; large ribosomal subunit; ribosome; chromosome, centromeric region",Cell cycle; Alcoholism; Systemic lupus erythematosus; Ribosome; Carbon metabolism,NA,NA
ENSG00000227355.6,,brown,-0.5917620559535874,0.015745866393386956,FALSE,"alternative mRNA splicing, via spliceosome",Unknown,outer mitochondrial membrane protein complex; mitochondrial outer membrane translocase complex; U12-type spliceosomal complex; proteasome complex; mitochondrial protein-containing complex,Prion disease; Parkinson disease; Spliceosome; Huntington disease; Proteasome,NA,NA
ENSG00000227373.7,RABGAP1L-DT,blue,0.5589882108634789,0.024385460088011797,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000227398.7,KIF9-AS1,blue,0.6734720040623574,0.0042372192113524325,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000227456.10,LINC00310,turquoise,-0.508184273274222,0.04444662615604538,FALSE,chromosome segregation; nuclear division; mitotic nuclear division; organelle fission; nuclear chromosome segregation,structural constituent of chromatin; structural constituent of ribosome; ligase activity; protein heterodimerization activity; ribonucleoprotein complex binding,"chromosomal region; protein-DNA complex; large ribosomal subunit; ribosome; chromosome, centromeric region",Cell cycle; Alcoholism; Systemic lupus erythematosus; Ribosome; Carbon metabolism,NA,NA
ENSG00000227495.2,KIF1C-AS1,turquoise,-0.45678361639368475,0.07529435844075555,FALSE,chromosome segregation; nuclear division; mitotic nuclear division; organelle fission; nuclear chromosome segregation,structural constituent of chromatin; structural constituent of ribosome; ligase activity; protein heterodimerization activity; ribonucleoprotein complex binding,"chromosomal region; protein-DNA complex; large ribosomal subunit; ribosome; chromosome, centromeric region",Cell cycle; Alcoholism; Systemic lupus erythematosus; Ribosome; Carbon metabolism,NA,NA
ENSG00000227512.1,,brown,-0.510034173566672,0.043549942039915246,FALSE,"alternative mRNA splicing, via spliceosome",Unknown,outer mitochondrial membrane protein complex; mitochondrial outer membrane translocase complex; U12-type spliceosomal complex; proteasome complex; mitochondrial protein-containing complex,Prion disease; Parkinson disease; Spliceosome; Huntington disease; Proteasome,NA,NA
ENSG00000227596.5,,brown,0.49066010799202836,0.05363994219208737,FALSE,"alternative mRNA splicing, via spliceosome",Unknown,outer mitochondrial membrane protein complex; mitochondrial outer membrane translocase complex; U12-type spliceosomal complex; proteasome complex; mitochondrial protein-containing complex,Prion disease; Parkinson disease; Spliceosome; Huntington disease; Proteasome,NA,NA
ENSG00000227627.6,,turquoise,0.6332203177788989,0.008459401880648622,FALSE,chromosome segregation; nuclear division; mitotic nuclear division; organelle fission; nuclear chromosome segregation,structural constituent of chromatin; structural constituent of ribosome; ligase activity; protein heterodimerization activity; ribonucleoprotein complex binding,"chromosomal region; protein-DNA complex; large ribosomal subunit; ribosome; chromosome, centromeric region",Cell cycle; Alcoholism; Systemic lupus erythematosus; Ribosome; Carbon metabolism,NA,NA
ENSG00000227695.6,DNMBP-AS1,blue,0.5738502685285574,0.020105248247975403,FALSE,Unknown,antigen binding; peptide antigen binding; immune receptor activity,immunoglobulin complex; MHC protein complex; lumenal side of endoplasmic reticulum membrane; SMN complex; late endosome membrane,Asthma; Allograft rejection; Staphylococcus aureus infection; Antigen processing and presentation; Autoimmune thyroid disease,NA,NA
ENSG00000227698.2,,brown,0.6297668482786425,0.008937721079425984,FALSE,"alternative mRNA splicing, via spliceosome",Unknown,outer mitochondrial membrane protein complex; mitochondrial outer membrane translocase complex; U12-type spliceosomal complex; proteasome complex; mitochondrial protein-containing complex,Prion disease; Parkinson disease; Spliceosome; Huntington disease; Proteasome,NA,NA
